customer_customerNumber,customer_customerName,customer_customerType,customer_contactFirstName,customer_contactLastName,customer_phone,customer_addressLine1,customer_addressLine2,customer_postalCode,customer_county,customer_subCounty,customer_customerLocation,customer_status,customer_statusText
171,[Business] Diani Residences,Business,Jeanne,Ahmed,0783728531,788 Kilimani Rd,Apt 9,80374,Kitui,Kisumu Central,"Kitui, Kenya",0,Dormant
172,[Business] Villa Rosa Retreat,Business,Alaine,Munyui,0755077902,517 Karen Rd,Apt 23,88007,Isiolo,Kasarani,"Isiolo, Kenya",0,Dormant
173,[Business] Villa Rosa Hotel,Business,Marie,Ahmed,0704538969,392 Westlands Rd,Apt 2,4689,Isiolo,Kesses,"Isiolo, Kenya",1,Active
174,Kiptoo Munyui,Individual,Kiptoo,Munyui,0793128346,867 Lavington Rd,Apt 40,79117,Embu,Kasarani,"Embu, Kenya",0,Dormant
175,Mwangi Abdullahi,Individual,Mwangi,Abdullahi,0761134750,380 South B Rd,Apt 79,37321,Nakuru,Dagoretti,"Nakuru, Kenya",0,Dormant
176,[Business] Voyager Lodge,Business,Jeanne,Kabila,0764663027,976 Langata Rd,Apt 19,44152,Eldoret,Kisumu East,"Eldoret, Kenya",1,Active
177,Pierre Ibrahim,Individual,Pierre,Ibrahim,0791288860,982 Buruburu Rd,Apt 68,66698,Isiolo,Dagoretti,"Isiolo, Kenya",0,Dormant
178,Joseph Mugisha,Individual,Joseph,Mugisha,0790991038,46 Thika Rd,Apt 96,30842,Embu,Langata,"Embu, Kenya",1,Active
179,[Business] Hemingways Manor,Business,Felicite,Ibrahim,0774830749,245 Lavington Rd,Apt 82,37452,Eldoret,Moiben,"Eldoret, Kenya",0,Dormant
180,Jacqueline Munyuli,Individual,Jacqueline,Munyuli,0732596748,589 Thika Rd,Apt 5,25646,Baringo,Embakasi,"Baringo, Kenya",0,Dormant
181,Emmanuelle Ibrahim,Individual,Emmanuelle,Ibrahim,0760368308,471 Moi Ave,Apt 26,5513,Wajir,Naivasha,"Wajir, Kenya",1,Active
182,Jacqueline Lumumba,Individual,Jacqueline,Lumumba,0766775589,470 Embakasi Rd,Apt 1,83310,Nyeri,Kisumu East,"Nyeri, Kenya",1,Active
183,Claudine Munyui,Individual,Claudine,Munyui,0774021855,374 Kenyatta Ave,Apt 14,41180,Mombasa,Gilgil,"Mombasa, Kenya",1,Active
184,[Business] Villa Rosa Retreat,Business,Otieno,Ali,0770091134,699 Koinange St,Apt 12,41422,Eldoret,Langata,"Eldoret, Kenya",0,Dormant
185,[Business] Neptune Suites,Business,Achieng,Mbeki,0746585004,484 Mama Ngina St,Apt 83,75780,Mandera,Molo,"Mandera, Kenya",1,Active
186,Claudine Nkurunziza,Individual,Claudine,Nkurunziza,0708443238,916 Koinange St,Apt 1,63127,Mombasa,Embakasi,"Mombasa, Kenya",1,Active
187,[Business] PrideInn Residences,Business,Mwangi,Mandela,0724499139,66 Ngong Rd,Apt 40,11175,Nyeri,Gilgil,"Nyeri, Kenya",1,Active
188,Michelle Mohammed,Individual,Michelle,Mohammed,0701806517,523 Gigiri Rd,Apt 90,81637,Embu,Naivasha,"Embu, Kenya",1,Active
189,[Business] InterContinental Resort,Business,Claudine,Mbeki,0769563776,355 Karen Rd,Apt 71,61772,Mombasa,Subukia,"Mombasa, Kenya",1,Active
190,Kamau Mutua,Individual,Kamau,Mutua,0790040716,124 Kiambu Rd,Apt 13,16627,Nakuru,Kasarani,"Nakuru, Kenya",1,Active
191,Mwangi Ahmed,Individual,Mwangi,Ahmed,0791793460,586 Eldoret Ln,Apt 32,4776,Laikipia,Turbo,"Laikipia, Kenya",1,Active
192,[Business] Safari Hotel,Business,Pauline,Ochieng,0777371873,691 Kimathi St,Apt 27,5324,Machakos,Kisumu Central,"Machakos, Kenya",1,Active
193,Njeri Kabila,Individual,Njeri,Kabila,0749053047,926 Nakuru Blvd,Apt 11,55306,Machakos,Eldoret East,"Machakos, Kenya",1,Active
194,[Business] Hilton Palace,Business,Emmanuelle,Odhiambo,0784427413,375 Dennis Pritt Rd,Apt 35,3864,Meru,Kisumu East,"Meru, Kenya",1,Active
195,Felicite Ali,Individual,Felicite,Ali,0795131162,904 South C Rd,Apt 84,492,Kitui,Langata,"Kitui, Kenya",0,Dormant
196,Felix Mandela,Individual,Felix,Mandela,0779109031,276 Dennis Pritt Rd,Apt 78,89460,Tharaka-Nithi,Changamwe,"Tharaka-Nithi, Kenya",1,Active
197,[Business] Voyager Palace,Business,Michelle,Mbeki,0794177123,391 Koinange St,Apt 54,33603,Eldoret,Kasarani,"Eldoret, Kenya",1,Active
198,Mwangi Nkurunziza,Individual,Mwangi,Nkurunziza,0733640166,3 Gigiri Rd,Apt 82,84879,Marsabit,Moiben,"Marsabit, Kenya",1,Active
199,[Business] Voyager Hotel,Business,Kiptoo,Mandela,0710572643,387 Uhuru Hwy,Apt 51,50468,Nakuru,Turbo,"Nakuru, Kenya",0,Dormant
200,Alaine Mbeki,Individual,Alaine,Mbeki,0739029913,244 South B Rd,Apt 94,12748,Muranga,Dagoretti,"Muranga, Kenya",1,Active
201,Amina Kiplagat,Individual,Amina,Kiplagat,0797043626,642 Kiambu Rd,Apt 8,81151,Kisumu,Kesses,"Kisumu, Kenya",0,Dormant
202,Wambui Nkurunziza,Individual,Wambui,Nkurunziza,0784794992,476 Kiambu Rd,Apt 11,69425,Nyeri,Kisumu East,"Nyeri, Kenya",0,Dormant
203,Claude Munee,Individual,Claude,Munee,0747820557,35 Runda Dr,Apt 13,35236,Muranga,Eldoret West,"Muranga, Kenya",1,Active
204,[Business] Diani Hotel,Business,Michel,Mwangi,0763571526,314 Eastleigh Rd,Apt 91,50160,Nyeri,Gilgil,"Nyeri, Kenya",1,Active
205,Felicite Mugisha,Individual,Felicite,Mugisha,0749526792,43 Uhuru Hwy,Apt 23,39571,Embu,Kisauni,"Embu, Kenya",1,Active
206,Njeri Kariuki,Individual,Njeri,Kariuki,0766661283,37 Thika Rd,Apt 15,26173,Marsabit,Kasarani,"Marsabit, Kenya",0,Dormant
207,Kiptoo Munyoki,Individual,Kiptoo,Munyoki,0734489958,990 Mama Ngina St,Apt 57,79612,Embu,Embakasi,"Embu, Kenya",0,Dormant
208,Felix Mbeki,Individual,Felix,Mbeki,0799677952,530 Donholm Rd,Apt 70,3257,Nakuru,Kisumu East,"Nakuru, Kenya",0,Dormant
209,[Business] Hilton Palace,Business,Emmanuelle,Mbeki,0710544870,895 Thika Rd,Apt 58,9621,Machakos,Molo,"Machakos, Kenya",1,Active
210,Achieng Muthoni,Individual,Achieng,Muthoni,0774674770,435 Kenyatta Ave,Apt 71,78721,Kitui,Kisumu Central,"Kitui, Kenya",0,Dormant
211,[Business] Voyager Lodge,Business,Emmanuelle,Mandela,0773412634,13 South B Rd,Apt 16,83788,Isiolo,Westlands,"Isiolo, Kenya",1,Active
212,Pierre Munyuli,Individual,Pierre,Munyuli,0763283215,552 Nakuru Blvd,Apt 46,57436,Garissa,Embakasi,"Garissa, Kenya",1,Active
213,[Business] Voyager Haven,Business,Marie,Mandela,0762128858,969 Karen Rd,Apt 30,35796,Nakuru,Subukia,"Nakuru, Kenya",1,Active
214,Alaine Mwangi,Individual,Alaine,Mwangi,0799282522,935 Kileleshwa Rd,Apt 10,57412,Mombasa,Likoni,"Mombasa, Kenya",1,Active
215,[Business] Severin Retreat,Business,Patrick,Mbeki,0741998785,484 Mombasa Rd,Apt 27,83798,Garissa,Kisauni,"Garissa, Kenya",0,Dormant
216,[Business] Sarova Haven,Business,Joseph,Mbeki,0762169528,609 Dennis Pritt Rd,Apt 77,82302,Laikipia,Kisauni,"Laikipia, Kenya",0,Dormant
217,Emmanuelle Omondi,Individual,Emmanuelle,Omondi,0799069226,913 Parklands Rd,Apt 35,7767,Kisumu,Kisumu Central,"Kisumu, Kenya",0,Dormant
218,[Business] Villa Rosa Inn,Business,Jeanne,Mandela,0779342807,955 Haile Selassie Ave,Apt 81,15546,Muranga,Turbo,"Muranga, Kenya",0,Dormant
219,[Business] PrideInn Hotel,Business,Kamau,Munyao,0735006730,293 State House Rd,Apt 50,68020,Tharaka-Nithi,Kesses,"Tharaka-Nithi, Kenya",1,Active
220,Pierrette Munyao,Individual,Pierrette,Munyao,0741120028,867 Westlands Rd,Apt 9,60109,Embu,Changamwe,"Embu, Kenya",1,Active
221,[Business] Serena Lodge,Business,Pierrette,Munzala,0757090102,778 Mbagathi Way,Apt 54,69963,Machakos,Eldoret East,"Machakos, Kenya",1,Active
222,Kamau Njoroge,Individual,Kamau,Njoroge,0797977195,882 Embakasi Rd,Apt 29,39998,Eldoret,Changamwe,"Eldoret, Kenya",1,Active
223,Pauline Munzala,Individual,Pauline,Munzala,0795848207,81 Donholm Rd,Apt 36,62996,Wajir,Kisumu East,"Wajir, Kenya",1,Active
224,[Business] Sarova Inn,Business,Claude,Malema,0724078011,222 Westlands Rd,Apt 75,64282,Mandera,Turbo,"Mandera, Kenya",0,Dormant
225,Joseph Mugabe,Individual,Joseph,Mugabe,0725276522,143 Tom Mboya St,Apt 90,32699,Kiambu,Likoni,"Kiambu, Kenya",1,Active
226,Kamau Omar,Individual,Kamau,Omar,0741826102,983 Koinange St,Apt 19,60996,Eldoret,Kesses,"Eldoret, Kenya",0,Dormant
227,Pierrette Munee,Individual,Pierrette,Munee,0721129152,478 Mama Ngina St,Apt 1,56434,Garissa,Kisumu Central,"Garissa, Kenya",0,Dormant
228,[Business] Voyager Lodge,Business,Jean,Odhiambo,0781445431,170 Embakasi Rd,Apt 41,32303,Embu,Kisauni,"Embu, Kenya",0,Dormant
229,Pauline Munee,Individual,Pauline,Munee,0770257415,763 Dennis Pritt Rd,Apt 35,37571,Tharaka-Nithi,Naivasha,"Tharaka-Nithi, Kenya",0,Dormant
230,[Business] Sarova Residences,Business,Kamau,Mandela,0795862826,417 Jogoo Rd,Apt 51,75043,Wajir,Jomvu,"Wajir, Kenya",0,Dormant
231,Michelle Zuma,Individual,Michelle,Zuma,0793074167,246 South B Rd,Apt 87,17187,Mandera,Gilgil,"Mandera, Kenya",1,Active
232,Alain Muthoni,Individual,Alain,Muthoni,0744401486,356 Eldoret Ln,Apt 5,9034,Eldoret,Kisumu East,"Eldoret, Kenya",1,Active
233,Jean Mutombo,Individual,Jean,Mutombo,0799431844,293 Westlands Rd,Apt 67,20897,Mandera,Langata,"Mandera, Kenya",1,Active
234,[Business] Villa Rosa Manor,Business,Wambui,Mbeki,0720848206,216 Langata Rd,Apt 12,86875,Kisumu,Jomvu,"Kisumu, Kenya",1,Active
235,Pierrette Munyuli,Individual,Pierrette,Munyuli,0729016325,165 Eldoret Ln,Apt 39,56593,Baringo,Embakasi,"Baringo, Kenya",1,Active
236,[Business] Diani Lodge,Business,Michelle,Ndayishimiye,0782632947,38 Uhuru Hwy,Apt 99,19025,Nyeri,Gilgil,"Nyeri, Kenya",0,Dormant
237,Jean Abdi,Individual,Jean,Abdi,0701320159,606 Moi Ave,Apt 20,56803,Wajir,Molo,"Wajir, Kenya",1,Active
238,Joseph Mukasa,Individual,Joseph,Mukasa,0702267896,366 South C Rd,Apt 7,59844,Wajir,Molo,"Wajir, Kenya",0,Dormant
239,[Business] Hemingways Suites,Business,Njeri,Bizimana,0773376312,190 Waiyaki Way,Apt 59,40037,Kitui,Kasarani,"Kitui, Kenya",0,Dormant
240,[Business] Ole Sereni Resort,Business,Emmanuel,Muthoni,0723551128,72 Haile Selassie Ave,Apt 13,14914,Isiolo,Kisumu West,"Isiolo, Kenya",0,Dormant
241,[Business] Villa Rosa Palace,Business,Emmanuel,Mwangi,0723125289,739 Donholm Rd,Apt 11,68219,Baringo,Naivasha,"Baringo, Kenya",1,Active
242,[Business] Voyager Resort,Business,Mwangi,Zuma,0701328048,898 Embakasi Rd,Apt 97,82185,Mombasa,Kisumu Central,"Mombasa, Kenya",1,Active
243,Emmanuel Ndayishimiye,Individual,Emmanuel,Ndayishimiye,0751276326,997 Kiambu Rd,Apt 99,76971,Meru,Kisauni,"Meru, Kenya",0,Dormant
244,Patricia Nkurunziza,Individual,Patricia,Nkurunziza,0752488443,837 Jogoo Rd,Apt 61,87138,Mombasa,Kisumu West,"Mombasa, Kenya",1,Active
245,[Business] Swahili Hotel,Business,Jacques,Munyui,0713215813,836 Mombasa Rd,Apt 1,67854,Nairobi,Kisauni,"Nairobi, Kenya",0,Dormant
246,Michel Ochieng,Individual,Michel,Ochieng,0714288210,161 Mbagathi Way,Apt 46,70720,Embu,Likoni,"Embu, Kenya",0,Dormant
247,Patricia Munzala,Individual,Patricia,Munzala,0750033135,397 Embakasi Rd,Apt 84,1214,Kiambu,Kisumu West,"Kiambu, Kenya",1,Active
248,Amina Ndayishimiye,Individual,Amina,Ndayishimiye,0710206157,934 Donholm Rd,Apt 44,9329,Baringo,Muhoroni,"Baringo, Kenya",1,Active
249,[Business] PrideInn Suites,Business,Alaine,Odhiambo,0718838697,729 Moi Ave,Apt 24,35027,Kisumu,Turbo,"Kisumu, Kenya",0,Dormant
250,[Business] InterContinental Residences,Business,Otieno,Lumumba,0752391987,118 Koinange St,Apt 48,23039,Embu,Kisumu East,"Embu, Kenya",1,Active
251,[Business] Tamarind Manor,Business,Michel,Munyoki,0754998639,457 Mama Ngina St,Apt 71,82885,Marsabit,Nyando,"Marsabit, Kenya",0,Dormant
252,Claudine Mwangi,Individual,Claudine,Mwangi,0761691389,754 Jogoo Rd,Apt 94,73395,Laikipia,Nakuru Town,"Laikipia, Kenya",1,Active
253,[Business] Hemingways Retreat,Business,Wambui,Lumumba,0777101552,969 Mbagathi Way,Apt 23,33519,Mandera,Nakuru Town,"Mandera, Kenya",1,Active
254,[Business] Neptune Inn,Business,Marie,Muthoni,0792850767,722 Moi Ave,Apt 9,51278,Baringo,Changamwe,"Baringo, Kenya",0,Dormant
255,[Business] Ole Sereni Hotel,Business,Kamau,Mwangi,0714088214,452 Langata Rd,Apt 38,62213,Mandera,Kisumu East,"Mandera, Kenya",0,Dormant
256,[Business] Hemingways Inn,Business,Claudine,Abdullahi,0793171499,540 Kisumu Ave,Apt 59,61474,Marsabit,Subukia,"Marsabit, Kenya",1,Active
257,[Business] Serena Lodge,Business,Michel,Nkurunziza,0700395876,590 Tom Mboya St,Apt 96,52588,Kisumu,Kisumu West,"Kisumu, Kenya",0,Dormant
258,[Business] Neptune Residences,Business,Kiptoo,Mbeki,0732515734,308 South B Rd,Apt 17,46909,Kiambu,Eldoret West,"Kiambu, Kenya",0,Dormant
259,[Business] Neptune Manor,Business,Kiptoo,Munzala,0777017727,234 Riverside Dr,Apt 35,61798,Kisumu,Nakuru Town,"Kisumu, Kenya",1,Active
260,[Business] Hemingways Resort,Business,Amina,Munyui,0742029521,640 Langata Rd,Apt 48,36847,Kitui,Naivasha,"Kitui, Kenya",1,Active
261,[Business] Tamarind Manor,Business,Patrick,Mwangi,0731008053,257 Moi Ave,Apt 92,38981,Marsabit,Dagoretti,"Marsabit, Kenya",0,Dormant
262,Jacqueline Wanyama,Individual,Jacqueline,Wanyama,0704012254,371 Langata Rd,Apt 84,4410,Kisumu,Turbo,"Kisumu, Kenya",1,Active
263,[Business] Voyager Haven,Business,Kiptoo,Munyao,0775957865,950 Kimathi St,Apt 13,62592,Wajir,Moiben,"Wajir, Kenya",0,Dormant
264,[Business] Nyali Lodge,Business,Amina,Ochieng,0701104957,172 Tom Mboya St,Apt 72,74676,Nairobi,Changamwe,"Nairobi, Kenya",1,Active
265,[Business] Baobab Inn,Business,Jacqueline,Kariuki,0750212853,354 Riverside Dr,Apt 79,9487,Isiolo,Eldoret East,"Isiolo, Kenya",1,Active
266,[Business] Serena Residences,Business,Paul,Hussein,0715947662,159 Uhuru Hwy,Apt 50,82607,Marsabit,Nyali,"Marsabit, Kenya",1,Active
267,Njeri Osman,Individual,Njeri,Osman,0788181426,874 Nakuru Blvd,Apt 68,22942,Embu,Naivasha,"Embu, Kenya",1,Active
268,Patrick Omondi,Individual,Patrick,Omondi,0779915424,839 Moi Ave,Apt 25,2931,Garissa,Eldoret West,"Garissa, Kenya",1,Active
269,Michel Wanyama,Individual,Michel,Wanyama,0769234263,284 Ngong Rd,Apt 48,55803,Mandera,Westlands,"Mandera, Kenya",1,Active
270,Otieno Ahmed,Individual,Otieno,Ahmed,0723208441,685 Lavington Rd,Apt 57,83517,Nyeri,Nyali,"Nyeri, Kenya",1,Active
271,[Business] Boma Suites,Business,Claudine,Zuma,0794960702,173 Nakuru Blvd,Apt 46,74108,Machakos,Nyali,"Machakos, Kenya",0,Dormant
272,[Business] Villa Rosa Lodge,Business,Jean,Malema,0723970569,269 South C Rd,Apt 35,75289,Mombasa,Muhoroni,"Mombasa, Kenya",0,Dormant
273,[Business] Severin Resort,Business,Paul,Ali,0781030063,45 Dennis Pritt Rd,Apt 46,3195,Kiambu,Westlands,"Kiambu, Kenya",0,Dormant
274,Patrick Zuma,Individual,Patrick,Zuma,0716894362,400 Westlands Rd,Apt 9,80050,Isiolo,Gilgil,"Isiolo, Kenya",0,Dormant
275,Njeri Lumumba,Individual,Njeri,Lumumba,0733207081,492 Eastleigh Rd,Apt 43,86159,Embu,Muhoroni,"Embu, Kenya",0,Dormant
276,[Business] Safari Manor,Business,Pauline,Kiplagat,0714129366,935 Nakuru Blvd,Apt 85,27835,Wajir,Eldoret East,"Wajir, Kenya",1,Active
277,[Business] Severin Haven,Business,Claude,Hussein,0756826002,616 Kiambu Rd,Apt 19,64402,Nakuru,Likoni,"Nakuru, Kenya",0,Dormant
278,[Business] Sarova Inn,Business,Otieno,Zuma,0750955277,83 Limuru Rd,Apt 14,16142,Kiambu,Jomvu,"Kiambu, Kenya",1,Active
279,[Business] Severin Inn,Business,Kamau,Munee,0710468295,214 Eldoret Ln,Apt 91,59349,Nairobi,Muhoroni,"Nairobi, Kenya",1,Active
280,Felicite Zuma,Individual,Felicite,Zuma,0745107779,797 Gigiri Rd,Apt 67,85302,Nyeri,Embakasi,"Nyeri, Kenya",1,Active
281,[Business] Severin Manor,Business,Njeri,Wanyama,0773491323,63 Donholm Rd,Apt 63,39654,Kiambu,Moiben,"Kiambu, Kenya",0,Dormant
282,[Business] Nyali Lodge,Business,Mutiso,Mukasa,0761931903,914 Lavington Rd,Apt 73,543,Mombasa,Kesses,"Mombasa, Kenya",0,Dormant
283,[Business] Sarova Retreat,Business,Wanjiku,Munee,0733302481,91 Nakuru Blvd,Apt 48,74290,Baringo,Molo,"Baringo, Kenya",1,Active
284,Claude Osman,Individual,Claude,Osman,0723430336,163 Lavington Rd,Apt 23,65949,Laikipia,Jomvu,"Laikipia, Kenya",0,Dormant
285,[Business] Nyali Lodge,Business,Pierrette,Odhiambo,0763399399,925 Koinange St,Apt 77,18445,Nakuru,Kasarani,"Nakuru, Kenya",1,Active
286,Michel Mbeki,Individual,Michel,Mbeki,0764405943,830 State House Rd,Apt 92,39961,Marsabit,Naivasha,"Marsabit, Kenya",0,Dormant
287,[Business] Voyager Retreat,Business,Marie,Omondi,0775077662,316 Eastleigh Rd,Apt 45,68418,Nairobi,Nyando,"Nairobi, Kenya",1,Active
288,Patricia Mbeki,Individual,Patricia,Mbeki,0726800033,33 Mombasa Rd,Apt 75,49105,Kitui,Kisumu Central,"Kitui, Kenya",0,Dormant
289,[Business] InterContinental Palace,Business,Jacqueline,Ibrahim,0722362300,286 South B Rd,Apt 30,40823,Muranga,Langata,"Muranga, Kenya",0,Dormant
290,Paul Kabila,Individual,Paul,Kabila,0763312342,404 Kisumu Ave,Apt 80,52766,Meru,Naivasha,"Meru, Kenya",0,Dormant
291,Michel Mbeki,Individual,Michel,Mbeki,0737311466,41 Limuru Rd,Apt 39,60708,Wajir,Nakuru Town,"Wajir, Kenya",0,Dormant
292,Felix Mbeki,Individual,Felix,Mbeki,0761726204,844 Eldoret Ln,Apt 31,5027,Kitui,Kesses,"Kitui, Kenya",0,Dormant
293,[Business] InterContinental Haven,Business,Felicite,Mbeki,0711652974,351 Limuru Rd,Apt 82,51353,Garissa,Nakuru Town,"Garissa, Kenya",0,Dormant
294,Wambui Munyua,Individual,Wambui,Munyua,0782480490,321 South C Rd,Apt 76,28178,Machakos,Dagoretti,"Machakos, Kenya",0,Dormant
295,[Business] Voyager Lodge,Business,Josephine,Kabila,0766924620,366 Buruburu Rd,Apt 78,56138,Laikipia,Jomvu,"Laikipia, Kenya",1,Active
296,[Business] Sarova Retreat,Business,Paul,Munzala,0758760962,157 Jogoo Rd,Apt 60,11595,Mombasa,Westlands,"Mombasa, Kenya",1,Active
297,Alain Munee,Individual,Alain,Munee,0764059484,542 Nakuru Blvd,Apt 100,52190,Kisumu,Subukia,"Kisumu, Kenya",1,Active
298,Emmanuel Mugabe,Individual,Emmanuel,Mugabe,0716247714,456 Waiyaki Way,Apt 31,15847,Embu,Nakuru Town,"Embu, Kenya",1,Active
299,Emmanuelle Ibrahim,Individual,Emmanuelle,Ibrahim,0718162929,629 James Gichuru Rd,Apt 51,80157,Tharaka-Nithi,Westlands,"Tharaka-Nithi, Kenya",0,Dormant
300,[Business] Severin Inn,Business,Claude,Mwangi,0705920395,957 Moi Ave,Apt 25,21452,Machakos,Subukia,"Machakos, Kenya",1,Active
301,[Business] Tamarind Inn,Business,Pauline,Hussein,0758456372,584 Riverside Dr,Apt 12,3797,Nairobi,Likoni,"Nairobi, Kenya",0,Dormant
302,Patrick Munyui,Individual,Patrick,Munyui,0771891493,852 Eastleigh Rd,Apt 21,54014,Embu,Subukia,"Embu, Kenya",1,Active
303,[Business] Hemingways Resort,Business,Patrick,Omar,0737015522,378 Gigiri Rd,Apt 80,75932,Mombasa,Molo,"Mombasa, Kenya",1,Active
304,[Business] Neptune Inn,Business,Wambui,Yusuf,0710435169,648 Karen Rd,Apt 83,18663,Mandera,Kisumu East,"Mandera, Kenya",0,Dormant
305,Jacqueline Munyui,Individual,Jacqueline,Munyui,0748440537,224 Tom Mboya St,Apt 33,14572,Tharaka-Nithi,Kisauni,"Tharaka-Nithi, Kenya",0,Dormant
306,Kamau Odhiambo,Individual,Kamau,Odhiambo,0783839618,252 James Gichuru Rd,Apt 25,35860,Baringo,Likoni,"Baringo, Kenya",1,Active
307,[Business] Fairmont Haven,Business,Pauline,Mugabe,0729172667,938 Embakasi Rd,Apt 52,1872,Mombasa,Langata,"Mombasa, Kenya",1,Active
308,[Business] Neptune Manor,Business,Joseph,Ndayishimiye,0742673001,341 Gigiri Rd,Apt 81,9758,Kitui,Embakasi,"Kitui, Kenya",0,Dormant
309,Alain Adan,Individual,Alain,Adan,0702927309,151 Riverside Dr,Apt 29,9131,Mandera,Gilgil,"Mandera, Kenya",0,Dormant
310,[Business] Leopard Beach Manor,Business,Marie,Kagame,0766677248,386 Westlands Rd,Apt 64,52852,Kiambu,Eldoret West,"Kiambu, Kenya",1,Active
311,Amina Abdullahi,Individual,Amina,Abdullahi,0704292686,399 Eastleigh Rd,Apt 54,19417,Embu,Gilgil,"Embu, Kenya",1,Active
312,[Business] Hemingways Residences,Business,Josephine,Yusuf,0736105702,681 Mbagathi Way,Apt 10,49083,Mandera,Embakasi,"Mandera, Kenya",1,Active
313,[Business] Safari Haven,Business,Claude,Adan,0768067163,228 Limuru Rd,Apt 66,54304,Nakuru,Nyando,"Nakuru, Kenya",1,Active
314,Pauline Mbeki,Individual,Pauline,Mbeki,0736443302,594 South C Rd,Apt 38,29134,Kitui,Kasarani,"Kitui, Kenya",1,Active
315,Jeanne Osman,Individual,Jeanne,Osman,0718975846,109 Donholm Rd,Apt 95,1029,Nyeri,Kisumu Central,"Nyeri, Kenya",1,Active
316,Claudine Nkurunziza,Individual,Claudine,Nkurunziza,0775569099,249 South C Rd,Apt 48,377,Machakos,Langata,"Machakos, Kenya",1,Active
317,[Business] Diani Palace,Business,Josephine,Osman,0755834256,351 Limuru Rd,Apt 8,32490,Muranga,Langata,"Muranga, Kenya",1,Active
318,Amina Mutombo,Individual,Amina,Mutombo,0752521541,678 Dennis Pritt Rd,Apt 21,30265,Tharaka-Nithi,Westlands,"Tharaka-Nithi, Kenya",0,Dormant
319,Claude Mwangi,Individual,Claude,Mwangi,0731147941,826 South B Rd,Apt 20,8937,Nyeri,Kisauni,"Nyeri, Kenya",0,Dormant
320,[Business] Diani Suites,Business,Jacqueline,Munzala,0744819997,30 State House Rd,Apt 85,52695,Eldoret,Kisumu West,"Eldoret, Kenya",1,Active
321,[Business] Diani Hotel,Business,Pierre,Hassan,0730379172,487 Ngong Rd,Apt 44,67592,Nakuru,Naivasha,"Nakuru, Kenya",1,Active
322,[Business] Serena Manor,Business,Wanjiku,Ali,0756252960,625 Uhuru Hwy,Apt 80,52273,Baringo,Westlands,"Baringo, Kenya",0,Dormant
323,[Business] Hilton Residences,Business,Felicite,Omar,0753219190,9 Moi Ave,Apt 30,72865,Nakuru,Eldoret East,"Nakuru, Kenya",0,Dormant
324,[Business] Hemingways Inn,Business,Patrick,Ibrahim,0700179597,537 Kiambu Rd,Apt 84,60353,Nakuru,Nakuru Town,"Nakuru, Kenya",1,Active
325,[Business] Tamarind Hotel,Business,Emmanuel,Mohammed,0741386795,367 Mama Ngina St,Apt 43,31126,Tharaka-Nithi,Molo,"Tharaka-Nithi, Kenya",0,Dormant
326,Achieng Mutua,Individual,Achieng,Mutua,0768339919,836 Buruburu Rd,Apt 63,26895,Isiolo,Kasarani,"Isiolo, Kenya",0,Dormant
327,[Business] Boma Inn,Business,Michel,Mandela,0737272039,81 Karen Rd,Apt 69,66858,Laikipia,Gilgil,"Laikipia, Kenya",1,Active
328,[Business] Hemingways Manor,Business,Jacques,Ochieng,0732306867,212 Kileleshwa Rd,Apt 62,40455,Nairobi,Dagoretti,"Nairobi, Kenya",0,Dormant
329,[Business] Swahili Residences,Business,Jacques,Osman,0718481159,122 Uhuru Hwy,Apt 42,5247,Marsabit,Molo,"Marsabit, Kenya",0,Dormant
330,Michelle Munyuli,Individual,Michelle,Munyuli,0752972621,956 Tom Mboya St,Apt 51,59182,Garissa,Gilgil,"Garissa, Kenya",1,Active
331,Patricia Muthoni,Individual,Patricia,Muthoni,0751657236,799 State House Rd,Apt 30,12132,Kisumu,Nyali,"Kisumu, Kenya",1,Active
332,[Business] Hilton Suites,Business,Pierrette,Omondi,0739524804,627 Gigiri Rd,Apt 46,76884,Muranga,Turbo,"Muranga, Kenya",0,Dormant
333,Marie Munee,Individual,Marie,Munee,0758433097,282 Dennis Pritt Rd,Apt 84,20553,Tharaka-Nithi,Nyando,"Tharaka-Nithi, Kenya",0,Dormant
334,[Business] PrideInn Resort,Business,Jacques,Kiplagat,0759523902,990 Mama Ngina St,Apt 23,78548,Kiambu,Moiben,"Kiambu, Kenya",1,Active
335,Marie Lumumba,Individual,Marie,Lumumba,0756099492,631 Kileleshwa Rd,Apt 84,81718,Tharaka-Nithi,Molo,"Tharaka-Nithi, Kenya",1,Active
336,Kamau Kiplagat,Individual,Kamau,Kiplagat,0768084716,400 Moi Ave,Apt 9,19592,Mombasa,Kesses,"Mombasa, Kenya",0,Dormant
337,[Business] Hemingways Manor,Business,Pierrette,Omondi,0776084478,725 Mbagathi Way,Apt 20,83513,Kiambu,Naivasha,"Kiambu, Kenya",0,Dormant
338,[Business] Severin Residences,Business,Achieng,Munzala,0722992760,982 Dennis Pritt Rd,Apt 61,15540,Mandera,Jomvu,"Mandera, Kenya",0,Dormant
339,Emmanuelle Mutombo,Individual,Emmanuelle,Mutombo,0766648762,109 Runda Dr,Apt 4,12583,Embu,Moiben,"Embu, Kenya",1,Active
340,Njeri Ochieng,Individual,Njeri,Ochieng,0789021541,570 Thika Rd,Apt 67,43743,Garissa,Jomvu,"Garissa, Kenya",1,Active
